Brand,Description,UPC,"Cases 
On Hand","Items
 Case/Unit",Size,Amount Taken,Date Taken,Our Cost
Habash,Bay Leaves,18227513388,4,6X1,2 oz,,,
Habash,Whole Anise,18227513364,6,6X1,6 oz,,,
Habash,Ground Cumin,18227513562,6,6X1,7 oz,,,
Habash,Steak Spices,18227513883,2,6X1,8 oz,,,
Habash,Dill,459249907289,1,6X1,5 oz,,,
Habash,Kufta,18227513944,2,6X1,7 oz,,,
Habash,Ground Fenugreek,18227513623,1,6X1,8 oz,,,
Habash,Ground White Pepper,18227513852,2,6X1,6 oz,,,
Habash,Baraka Black Seeds,18227513425,2,6X1,7 oz,,,
Habash,Cookie Spices,18227513524,2,6X1,6 oz,,,
Habash,Ground Oregano,18227513784,1,6X1,2 oz,,,
Habash,Falafel ,18227513593,2,6X1,7 oz,,,
Habash,7 Spice,18227513340,1,6X1,7 oz,,,
Habash,Ground Cardamom,18227513432,1,6X1,7 oz,,,
Habash,Biryani Spices (Bulk),18227513395,1,1,25 LB,,,
Habash,Whole Black Pepper,18227513821,1,1,25 LB,,,
Habash,Kabseh Spice,18227513692,1,1,25 LB,,,
Habash,Shatta Hot Sauce,6731439455393,7,12,1000 g,,,
Habash,Baladi Green Olives,6254894840004,2,6,3 LB,,,
Habash ,Sumac,,2,4,5 KG,,,
Halawani,Cheezy Chips,*6253001321658,2,24,60 g,,,
Halwani Bros,Maamoul w/Dates,10074265014048,8,16 (boxes) X 12 (pcs),480 g,,,
Happy Panda,Premium Tamarind Paste,2450272233022,0,50,14 oz,,,
Hebron Snacks,Teesty Chips (Peanut Butter Corn Curls),6253356200899,0,40,40 g,,,
Hebron Snacks,Teesty Chips (Peanut Butter Corn Curls),6253356200974,0,16,40 g,,,
Hello Mochi,Starwberry Cheesecake Flavor Mochi,850075808496,1,12,150 g,,,
Hello Mochi,Dubai Style Chocolate Flavor Mochi,850075808519,0,12,150g,,,
Holw El Sham,Basbousa w/Cream,6223000423349,3,6,,,,
India Gate,Basmati Rice Classic,690225105378,27,4,10 LB,,,
Indomie,Instant Noodles Vegetable Flavor (Green),8994963002008,13,6,375 g,,,
Indomie,Instant Noodles Chciken Flavor,8994963001995,5,6X5,2.65 oz,,,
Jannat,Guava Fruit Nectar,850038627041,9,6,1 L,,,
Jannat,Mango Fruit Nectar,850038627058,21,6,1 L,,,
Jannat,Mango Fruit Nectar,850038627072,3,24,250 ml,,,
Jannat,Pickled Premium Zero Cucumbers,850038627119,40,6,7.34 LB,,,
Jannat,Tahina ,850046223716,59,1,40 LB,,,
Jannat,Yellow Bulgur,850038627690,3,12,2 LB,,,
Jannat,Brown Bulgur,850038627744,1,12,2 LB,,,
Jannat,Baladi Dried Mallow Leaves,850038627874,2,12,7.05 oz,,,
Jannat,Spaghetti,850046223679,8,20,454 g,,,
Jannat,Pasta Shells,850046223624,0,20,454 g,,,
Jannat,Elbow Macaroni,850046223631,0,20,454 g,,,
Jannat,Pure Refined Sunflower Oil,850046223495,7,4,4 L,,,
Jannat,Extra Virgin Olive Oil,850038627621,1,4,2.85 L,,,
Jannat,Pickled Peppers,728488449301,1,12,1000 g,,,
Josh Bosh,Assorted Fruit Jellies Juicy Chew,850023692467,0,6 Jars,1190 g,,,
Josh Bosh,Assorted Fruit Jellies Juicy Chew (Doggy Shape),850075808168,0,6 Jars/34 Cups,1190 g,,,
Josh Bosh,Fruit Jellies Juicy Chew (Bear Shape),850075808984,0,6 Jars,800 g,,,
Josh Bosh,Fruit Jellies Juicy Chew (Panda Shape),850083598020,0,6 Jars,800 g,,,
Kenz,Medium Semolina,6111245000664,8,1,5 KG,,,
Kenz,Fine Vermicelli,6111267930550,1,12,500 g,,,
Kenz,Medium Vermicelli,6111267930611,0,12,500 g,,,
Kesar,Sweetened Mango Pulp,51179251502,8,6,850 g,,,
Knorr ,Chicken Flavor Bouillon (Bulk),48001016460,3,1,25 LB,,,
Kraft ,Cheddar Cheese,5711953186523,2,36,190 g,,,
